Pos.,Squadra,Pt,G,V,N,P,GF,GS,DR
1,Milan,86,38,26,8,4,69,31,38
2,Inter,84,38,25,9,4,84,32,52
3,Napoli,79,38,24,7,7,74,31,43
4,Juventus,70,38,20,10,8,57,37,20
5,Lazio,64,38,18,10,10,77,58,19
6,Roma,63,38,18,9,11,59,43,16
7,Fiorentina,62,38,19,5,14,59,51,8
8,Atalanta,59,38,16,11,11,65,48,17
9,Verona,53,38,14,11,13,65,59,6
10,Torino,50,38,13,11,14,46,41,5
11,Sassuolo,50,38,13,11,14,64,66,-2
12,Udinese,47,38,11,14,13,61,58,3
13,Bologna,46,38,12,10,16,44,55,-11
14,Empoli,41,38,10,11,17,50,70,-20
15,Sampdoria,36,38,10,6,22,46,63,-17
16,Spezia,36,38,10,6,22,41,71,-30
17,Salernitana,31,38,7,10,21,33,78,-45
18,Cagliari,30,38,6,12,20,34,68,-34
19,Genoa,28,38,4,16,18,27,60,-33
20,Venezia,27,38,6,9,23,34,69,-35
